,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
649,Steve Davis,L,73,195,0.0,0,"(72, 73]","(190, 195]","[0.0, 0.02)"
650,Jeff Rineer,L,76,205,0.0,0,"(75, 76]","(200, 205]","[0.0, 0.02)"
651,Barry Bonnell,R,75,190,0.272,56,"(74, 75]","(185, 190]","[0.26, 0.28)"
652,Tom Seaver,R,73,195,0.154,12,"(72, 73]","(190, 195]","[0.14, 0.16)"
653,Jerry Martin,R,73,195,0.251,85,"(72, 73]","(190, 195]","[0.24, 0.26)"
654,Bill Stein,R,70,170,0.267,44,"(69, 70]","(165, 170]","[0.26, 0.28)"
655,Joel Youngblood,R,72,180,0.265,80,"(71, 72]","(175, 180]","[0.26, 0.28)"
656,Reggie Jackson,L,72,195,0.262,563,"(71, 72]","(190, 195]","[0.26, 0.28)"
657,Sonny Jackson,L,69,150,0.251,7,"(68, 69]","(145, 150]","[0.24, 0.26)"
658,Mark Mercer,L,77,220,0.0,0,"(76, 77]","(215, 220]","[0.0, 0.02)"
659,Rodney Scott,B,72,160,0.23600000000000002,3,"(71, 72]","(155, 160]","[0.22, 0.24)"
660,Rich Coggins,L,68,170,0.265,12,"(67, 68]","(165, 170]","[0.26, 0.28)"
661,Phil Gagliano,R,73,180,0.23800000000000002,14,"(72, 73]","(175, 180]","[0.22, 0.24)"
662,Jerry McNertney,R,72,180,0.237,27,"(71, 72]","(175, 180]","[0.22, 0.24)"
663,Mitchell Page,L,74,205,0.266,72,"(73, 74]","(200, 205]","[0.26, 0.28)"
664,Kiko Garcia,R,71,180,0.239,12,"(70, 71]","(175, 180]","[0.22, 0.24)"
665,Larry Milbourne,B,72,161,0.254,11,"(71, 72]","(160, 165]","[0.24, 0.26)"
666,Bill Sudakis,B,73,190,0.23399999999999999,59,"(72, 73]","(185, 190]","[0.22, 0.24)"
667,John Caneira,R,75,180,0.0,0,"(74, 75]","(175, 180]","[0.0, 0.02)"
668,Domingo Ramos,R,70,154,0.24,8,"(69, 70]","(150, 155]","[0.24, 0.26)"
669,Ron Oester,B,74,185,0.265,42,"(73, 74]","(180, 185]","[0.26, 0.28)"
670,Glenn Adams,L,73,180,0.28,34,"(72, 73]","(175, 180]","[0.28, 0.3)"
671,Clint Zavaras,R,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
672,Joe Morgan,L,67,160,0.271,268,"(66, 67]","(155, 160]","[0.26, 0.28)"
673,R.J. Reynolds,B,72,190,0.267,35,"(71, 72]","(185, 190]","[0.26, 0.28)"
